weights_backbone,aux_loss,lr,batch_size,weight_decay,mean_dice,mean_iou
imagenet,True,0.0003,4,0.0,0.8079059261019385,0.6783123203222312
imagenet,False,0.0003,4,1e-05,0.8002390114196004,0.6677058718079456
imagenet,True,0.0003,4,0.0001,0.797516386277203,0.6637944619779705
imagenet,False,0.0003,4,0.0001,0.7974517693055861,0.663730303999263
imagenet,True,0.0001,2,1e-05,0.7964596749241082,0.6627528277127417
imagenet,False,0.0001,2,0.0001,0.795872025628988,0.6621053415049196
imagenet,False,0.0001,4,0.0001,0.7948903179050794,0.6603213362403404
imagenet,True,0.0001,4,1e-05,0.7947673290522234,0.659867266465658
imagenet,False,0.0003,2,0.0001,0.7943604925969491,0.6599103319446773
imagenet,False,0.0003,4,0.0,0.7942263521294747,0.6595157621696743
imagenet,True,0.0001,4,0.0001,0.794141386928555,0.6593003505597484
imagenet,True,0.0001,4,0.0,0.7920011311465881,0.6560379692712438
imagenet,True,0.0003,2,0.0,0.7916994384504065,0.6559262637414638
imagenet,False,0.0003,2,0.0,0.7913365791738426,0.6556789026734273
imagenet,True,0.0003,2,1e-05,0.7909455772642392,0.654756589144487
imagenet,True,0.0001,2,0.0,0.7903271718729334,0.6542177259951709
imagenet,False,0.0001,4,0.0,0.7903132325269985,0.6538306852460846
imagenet,True,0.0001,2,0.0001,0.7890924516236335,0.6523493572149646
imagenet,False,0.0001,4,1e-05,0.788448523513971,0.6512854791427882
imagenet,True,0.0003,4,1e-05,0.7862155376848845,0.6491553876822824
imagenet,False,0.0001,2,1e-05,0.7858820321487985,0.6479260517658139
imagenet,False,0.0001,2,0.0,0.7814069668249768,0.6419958288055364
imagenet,False,0.0003,2,1e-05,0.7758101046621105,0.6339504518216524
imagenet,True,1e-05,4,1e-05,0.7633438915167232,0.6178154724862069
imagenet,True,1e-05,4,0.0,0.761347458577498,0.6154223665626334
imagenet,True,1e-05,4,0.0001,0.7588269547098495,0.6118703524390157
imagenet,False,1e-05,4,1e-05,0.7534610367670318,0.6049680265909552
imagenet,True,0.0003,2,0.0001,0.7533019271385244,0.609642741314201
imagenet,False,1e-05,4,0.0,0.7511658159235894,0.6018439200438703
imagenet,False,1e-05,4,0.0001,0.7489142168652394,0.5993332913807092
imagenet,False,1e-05,2,0.0,0.7472778125145142,0.5970800753369623
imagenet,True,1e-05,2,0.0,0.7461612733814461,0.596348816840442
,False,0.0001,4,0.0001,0.7457095362368256,0.5961009242176945
imagenet,True,1e-05,2,0.0001,0.7456085174649605,0.5948690627123143
,True,0.0003,4,0.0,0.7452821801137797,0.5948162500651005
imagenet,True,1e-05,2,1e-05,0.7438766555982395,0.5934098090342712
imagenet,False,1e-05,2,0.0001,0.7427829798468564,0.5912232224986669
,True,0.0001,4,0.0001,0.741290675433837,0.5900615427456014
,True,0.0001,4,1e-05,0.7289205681774343,0.5741413972859795
imagenet,False,1e-05,2,1e-05,0.7284269987069558,0.5739287406057483
,False,0.0001,4,1e-05,0.7202271719875508,0.5661757845640052
,False,0.0003,4,0.0,0.7196297262963963,0.5695270496580302
,False,0.0003,4,0.0001,0.7179286788853505,0.5617712156813869
,True,0.0001,4,0.0,0.7155153025961096,0.5611544200619347
,True,0.0003,4,1e-05,0.7121771686723146,0.5587459522380962
,False,0.0001,4,0.0,0.7098467716477825,0.5528977678241012
,True,1e-05,4,0.0,0.7010851171226562,0.5410310377250246
,True,1e-05,4,0.0001,0.6966621662734522,0.5366437545709538
,False,0.0003,4,1e-05,0.6959647861626721,0.5391560379986633
,False,1e-05,4,1e-05,0.6927429957194662,0.5315968024693821
,False,1e-05,2,0.0001,0.6917131853842162,0.5299249767060332
,False,0.0001,2,1e-05,0.6886538860113431,0.5274887239142847
,True,1e-05,4,1e-05,0.687964619140864,0.5260881902389541
,True,0.0001,2,0.0001,0.6861956414020659,0.5243907479765024
,False,1e-05,4,0.0,0.6848200385517862,0.5223237429923964
,False,1e-05,4,0.0001,0.6843615626526612,0.5226379456597119
,False,0.0003,2,1e-05,0.6804061726849921,0.5184535303707636
,True,1e-05,2,1e-05,0.6779643008974665,0.514769557160456
,False,0.0003,2,0.0,0.6770693888255379,0.5195893283490749
,True,1e-05,2,0.0001,0.6737805900496727,0.5113770896347658
,False,1e-05,2,1e-05,0.6712368096980655,0.5066235995773531
,True,1e-05,2,0.0,0.6604705636547081,0.49782859811826913
,False,0.0003,2,0.0001,0.6598778810061776,0.5012808510102998
,True,0.0001,2,1e-05,0.6591140667816286,0.49748558264423937
,False,1e-05,2,0.0,0.650379430114685,0.48822876209155364
,True,0.0001,2,0.0,0.6371849876337218,0.4781599077509585
,False,0.0001,2,0.0001,0.6119349751589115,0.4806132602504851
,True,0.0003,2,1e-05,0.5967192137480735,0.46371902614524424
,True,0.0003,4,0.0001,0.5856104303029461,0.4625190309145859
,False,0.0001,2,0.0,0.5554441235023744,0.41302508332160326
,True,0.0003,2,0.0,0.5442078988087474,0.40571986712953845
,True,0.0003,2,0.0001,0.5252659744302353,0.3806809920399251
